"Nationality","Speaker","Vowel","LanguageVowel","Language","F0","F1","F2","F3"
"Korean","k2","o","오","Korean",130,358,600,2545
"Korean","k2","o","오","Korean",130,352,620,2519
"Korean","k2","o","오","Korean",136,367,626,2521
"Korean","k2","o","오","Korean",133,357,563,2507
"Korean","k2","o","오","Korean",135,378,687,2511
"Korean","k2","o","오","Korean",136,358,566,2491
"Korean","k2","o","오","Korean",143,404,703,2525
"Korean","k2","o","오","Korean",144,357,586,2426
"Korean","k2","o","오","Korean",147,382,652,2625
"Korean","k2","o","오","Korean",147,397,609,2462
"Korean","k3","o","오","Korean",136,408,698,2256
"Korean","k3","o","오","Korean",140,411,723,2377
"Korean","k3","o","오","Korean",145,428,764,2302
"Korean","k3","o","오","Korean",140,407,673,2227
"Korean","k3","o","오","Korean",142,418,735,2254
"Korean","k3","o","오","Korean",144,427,719,2270
"Korean","k3","o","오","Korean",143,416,685,2131
"Korean","k3","o","오","Korean",144,423,717,2324
"Korean","k3","o","오","Korean",146,428,731,2283
"Korean","k3","o","오","Korean",146,431,727,2288
"Korean","k4","o","오","Korean",120,366,693,2252
"Korean","k4","o","오","Korean",127,360,656,2289
"Korean","k4","o","오","Korean",140,400,687,2350
"Korean","k4","o","오","Korean",140,401,674,2379
"Korean","k4","o","오","Korean",139,396,675,2320
"Korean","k4","o","오","Korean",143,416,735,2252
"Korean","k4","o","오","Korean",143,406,696,2297
"Korean","k4","o","오","Korean",139,397,679,2373
"Korean","k4","o","오","Korean",135,395,693,2325
"Korean","k4","o","오","Korean",140,403,684,2334
"Korean","k5","o","오","Korean",145,423,655,2857
"Korean","k5","o","오","Korean",146,421,631,2836
"Korean","k5","o","오","Korean",147,429,706,2935
"Korean","k5","o","오","Korean",145,427,716,2864
"Korean","k5","o","오","Korean",148,436,680,2821
"Korean","k5","o","오","Korean",144,420,712,2738
"Korean","k5","o","오","Korean",145,427,733,2747
"Korean","k5","o","오","Korean",140,415,703,2857
"Korean","k5","o","오","Korean",142,399,606,2898
"Korean","k5","o","오","Korean",140,408,664,2908
"Russian","r1","o","О","Russian",126,448,673,2856
"Russian","r1","o","О","Russian",136,437,712,2828
"Russian","r1","o","О","Russian",140,430,731,2683
"Russian","r1","o","О","Russian",122,483,757,2893
"Russian","r1","o","О","Russian",126,496,690,2769
"Russian","r1","o","О","Russian",131,485,736,2799
"Russian","r1","o","О","Russian",133,522,735,2944
"Russian","r1","o","О","Russian",126,487,685,2846
"Russian","r1","o","О","Russian",126,499,697,2909
"Russian","r1","o","О","Russian",122,485,781,2797
"Russian","r2","o","О","Russian",125,501,772,2737
"Russian","r2","o","О","Russian",127,508,782,2768
"Russian","r2","o","О","Russian",128,511,769,2675
"Russian","r2","o","О","Russian",139,538,734,2768
"Russian","r2","o","О","Russian",144,571,844,2848
"Russian","r2","o","О","Russian",146,515,714,2800
"Russian","r2","o","О","Russian",146,566,818,2753
"Russian","r2","o","О","Russian",142,557,801,2722
"Russian","r2","o","О","Russian",149,566,799,2826
"Russian","r2","o","О","Russian",151,594,896,2701
"Russian","r3","o","О","Russian",142,515,712,2415
"Russian","r3","o","О","Russian",137,485,672,2359
"Russian","r3","o","О","Russian",140,500,700,2387
"Russian","r3","o","О","Russian",156,464,641,2347
"Russian","r3","o","О","Russian",147,495,761,2311
"Russian","r3","o","О","Russian",157,465,643,2369
"Russian","r3","o","О","Russian",158,461,648,2346
"Russian","r3","o","О","Russian",171,505,696,2608
"Russian","r3","o","О","Russian",171,504,698,2545
"Russian","r3","o","О","Russian",166,477,670,2497
"Russian","r4","o","О","Russian",175,499,707,2044
"Russian","r4","o","О","Russian",168,410,652,2133
"Russian","r4","o","О","Russian",176,517,736,2177
"Russian","r4","o","О","Russian",175,473,664,2076
"Russian","r4","o","О","Russian",167,485,705,1992
"Russian","r4","o","О","Russian",180,469,645,2068
"Russian","r4","o","О","Russian",169,447,674,1924
"Russian","r4","o","О","Russian",159,486,721,2049
"Russian","r4","o","О","Russian",153,458,704,2037
"Russian","r4","o","О","Russian",154,458,663,1904
"Russian","r5","o","О","Russian",116,460,706,2395
"Russian","r5","o","О","Russian",152,445,662,2390
"Russian","r5","o","О","Russian",149,502,689,2383
"Russian","r5","o","О","Russian",159,457,722,2159
"Russian","r5","o","О","Russian",146,442,729,2107
"Russian","r5","o","О","Russian",164,438,683,2112
"Russian","r5","o","О","Russian",156,440,707,2110
"Russian","r5","o","О","Russian",153,453,653,2201
"Russian","r5","o","О","Russian",170,394,670,2151
"Russian","r5","o","О","Russian",162,410,634,2188
